Month,Agency,Ridership
12/01/2016,B&T,25523374
01/01/2017,MNR,6740205
01/01/2017,B&T,23678030
02/01/2017,MNR,6255704
02/01/2017,B&T,21817096
03/01/2017,MNR,7308653
03/01/2017,B&T,24825216
04/01/2017,MNR,7015523
04/01/2017,B&T,25563307
05/01/2017,MNR,7464531
05/01/2017,B&T,26934051
06/01/2017,MNR,7708077
06/01/2017,B&T,27312088
07/01/2017,MNR,7244976
07/01/2017,B&T,27666919
08/01/2017,MNR,7507575
08/01/2017,B&T,28400644
09/01/2017,MNR,7083644
09/01/2017,B&T,26685639
10/01/2017,MNR,7730577
10/01/2017,B&T,27200556
11/01/2017,MNR,7277877
11/01/2017,B&T,26080331
12/01/2017,MNR,7160806
12/01/2017,B&T,25865411
01/01/2018,Bus,45398837
01/01/2018,Subway,134683435
01/01/2018,MNR,6764660
01/01/2018,B&T,23864492
02/01/2018,Bus,44719811
02/01/2018,Subway,127432835
02/01/2018,MNR,6246009
02/01/2018,B&T,22860783
03/01/2018,Bus,49751875
03/01/2018,Subway,143982923
03/01/2018,MNR,7136383
03/01/2018,B&T,25806229
04/01/2018,MNR,7114637
04/01/2018,Bus,48544481
04/01/2018,Subway,141950369
04/01/2018,B&T,26642983
05/01/2018,MNR,7544006
05/01/2018,Bus,51833732
05/01/2018,Subway,150320833
05/01/2018,B&T,28357016
06/01/2018,MNR,7596231
06/01/2018,Bus,47637082
06/01/2018,Subway,142709768
06/01/2018,B&T,28668259
07/01/2018,MNR,7403479
07/01/2018,Bus,46047617
07/01/2018,Subway,136167499
07/01/2018,B&T,28683283
08/01/2018,MNR,7456258
08/01/2018,Bus,46810522
08/01/2018,Subway,136806572
08/01/2018,B&T,29401598
09/01/2018,MNR,6935011
09/01/2018,Bus,46842647
09/01/2018,Subway,134989959
09/01/2018,B&T,27293147
10/01/2018,MNR,7865799
10/01/2018,Bus,51989419
10/01/2018,Subway,154116408
10/01/2018,B&T,28425771
11/01/2018,MNR,7230193
11/01/2018,Bus,45751957
11/01/2018,Subway,140711661
11/01/2018,B&T,26701191
12/01/2018,MNR,7229500
12/01/2018,Bus,44033258
12/01/2018,Subway,136188140
12/01/2018,B&T,27066586
01/01/2019,LIRR,7166693
01/01/2019,MNR,6860311
01/01/2019,Subway,134509588
01/01/2019,Bus,44510954
01/01/2019,AAR,880435
01/01/2019,SIR,380333
01/01/2019,B&T,25005762
02/01/2019,AAR,856934
02/01/2019,SIR,328975
02/01/2019,B&T,23532562
02/01/2019,LIRR,6544350
02/01/2019,MNR,6200043
02/01/2019,Subway,126352020
02/01/2019,Bus,42164341
03/01/2019,LIRR,7515113
03/01/2019,MNR,7098004
03/01/2019,Subway,143728590
03/01/2019,Bus,48332718
03/01/2019,AAR,941311
03/01/2019,SIR,380047
03/01/2019,B&T,27332093
04/01/2019,LIRR,7724038
04/01/2019,MNR,7437206
04/01/2019,Subway,145010815
04/01/2019,Bus,47233653
04/01/2019,AAR,931926
04/01/2019,SIR,356288
04/01/2019,B&T,27419476
05/01/2019,SIR,420191
05/01/2019,B&T,29249471
05/01/2019,LIRR,7974946
05/01/2019,MNR,7587278
05/01/2019,Subway,150784681
05/01/2019,Bus,49821536
05/01/2019,AAR,916715
06/01/2019,LIRR,7736345
06/01/2019,MNR,7369572
06/01/2019,Subway,141446659
06/01/2019,Bus,45813003
06/01/2019,AAR,930320
06/01/2019,SIR,348056
06/01/2019,B&T,28792254
07/01/2019,LIRR,7990884
07/01/2019,MNR,7550014
07/01/2019,Subway,139447012
07/01/2019,Bus,46280661
07/01/2019,AAR,882897
07/01/2019,SIR,331576
07/01/2019,B&T,28857383
08/01/2019,B&T,29442733
08/01/2019,LIRR,7921403
08/01/2019,MNR,7297196
08/01/2019,Subway,137301528
08/01/2019,Bus,45683643
08/01/2019,AAR,804320
08/01/2019,SIR,312310
09/01/2019,LIRR,7540043
09/01/2019,MNR,7164148
09/01/2019,Subway,143268789
09/01/2019,Bus,48114705
09/01/2019,AAR,874644
09/01/2019,SIR,365659
09/01/2019,B&T,27785633
10/01/2019,LIRR,8108240
10/01/2019,MNR,7823079
10/01/2019,Subway,155315738
10/01/2019,Bus,50451610
10/01/2019,AAR,980716
10/01/2019,SIR,401647
10/01/2019,B&T,28109963
11/01/2019,LIRR,7215882
11/01/2019,MNR,6984562
11/01/2019,Subway,140724722
11/01/2019,Bus,45349394
11/01/2019,AAR,928407
11/01/2019,SIR,339080
11/01/2019,B&T,26913543
12/01/2019,LIRR,7667200
12/01/2019,MNR,7222951
12/01/2019,Subway,139896860
12/01/2019,Bus,43280282
12/01/2019,AAR,989585
12/01/2019,SIR,336326
12/01/2019,B&T,26955736
01/01/2020,LIRR,7171718
01/01/2020,MNR,6907349
01/01/2020,Subway,138446295
01/01/2020,Bus,45145397
01/01/2020,AAR,937440
01/01/2020,SIR,360943
01/01/2020,B&T,25368494
02/01/2020,AAR,966447
02/01/2020,SIR,321294
02/01/2020,B&T,24540667
02/01/2020,LIRR,6640006
02/01/2020,MNR,6275717
02/01/2020,Subway,130902123
02/01/2020,Bus,43129229
03/01/2020,LIRR,3274069
03/01/2020,MNR,2797794
03/01/2020,Subway,73639342
03/01/2020,Bus,26152590
03/01/2020,AAR,649701
03/01/2020,SIR,200584
03/01/2020,B&T,18934838
04/01/2020,LIRR,253571
04/01/2020,MNR,448977
04/01/2020,Subway,11795394
04/01/2020,Bus,362266
04/01/2020,AAR,209889
04/01/2020,SIR,19677
04/01/2020,B&T,9730391
05/01/2020,SIR,23457
05/01/2020,B&T,14953991
05/01/2020,LIRR,515917
05/01/2020,MNR,511064
05/01/2020,Subway,15316407
05/01/2020,Bus,289710
05/01/2020,AAR,289460
06/01/2020,LIRR,1113087
06/01/2020,MNR,924832
06/01/2020,Subway,23911163
06/01/2020,Bus,457603
06/01/2020,AAR,410329
06/01/2020,SIR,41174
